Size,QuickSort,MergeSort
444,0.000281,0.000282
1160,0.000056,0.001053
1812,0.000011,0.001407
960,0.000002,0.000879
1029,0.000200,0.000774
1070,0.000040,0.000952
809,0.000008,0.000788
633,0.000002,0.000557
386,0.000000,0.000310
1408,0.000199,0.001059
63,0.000040,0.000212
1592,0.000207,0.001039
242,0.000041,0.000407
1683,0.000208,0.001078
1319,0.000042,0.001212
30,0.000008,0.000242
607,0.000002,0.000447
536,0.000000,0.000488
1308,0.000000,0.001094
310,0.000000,0.000418
336,0.000000,0.000291
1368,0.000000,0.001047
340,0.000000,0.000409
441,0.000000,0.000480
385,0.000000,0.000295
678,0.000000,0.000657
1517,0.000000,0.001128
358,0.000000,0.000425
193,0.000000,0.000284
885,0.000000,0.000655
1204,0.000000,0.001128
1299,0.000598,0.000425
1707,0.000319,0.001082
733,0.000263,0.000615
1485,0.000451,0.000920
91,0.000090,0.000184
508,0.000018,0.000435
194,0.000004,0.000087
1717,0.000200,0.001014
1405,0.000239,0.001199
1242,0.000247,0.000838
755,0.000249,0.000566
903,0.000050,0.000711
374,0.000010,0.000342
215,0.000002,0.000268
1547,0.000399,0.000851
886,0.000080,0.000768
774,0.000016,0.000752
359,0.000003,0.000350
80,0.000001,0.000070
1324,0.000000,0.001011
535,0.000000,0.000601
274,0.000000,0.000320
1335,0.000000,0.001061
1547,0.000199,0.001009
1522,0.000239,0.001198
1515,0.000247,0.001236
1940,0.000249,0.001443
395,0.000050,0.000488
677,0.000010,0.000696
670,0.000002,0.000538
715,0.000000,0.000706
1029,0.000199,0.000540
1581,0.000239,0.001105
1704,0.000247,0.001218
1212,0.000049,0.001240
1547,0.000209,0.001245
487,0.000042,0.000448
581,0.000008,0.000488
1842,0.000400,0.001095
1799,0.000479,0.001216
1394,0.000096,0.001439
1990,0.000418,0.001284
36,0.000084,0.000257
943,0.000216,0.000450
96,0.000043,0.000090
101,0.000208,0.000018
1078,0.000042,0.000801
1383,0.000008,0.001157
1731,0.000201,0.001228
415,0.000040,0.000644
810,0.000008,0.000727
1836,0.000002,0.001541
1113,0.000200,0.000906
834,0.000040,0.000580
1415,0.000008,0.001113
1261,0.000002,0.001020
1890,0.000200,0.001400
1499,0.000239,0.001277
1249,0.000048,0.001053
302,0.000209,0.000211
211,0.000042,0.000042
1135,0.000208,0.000606
1216,0.000042,0.001118
1064,0.000008,0.001021
1378,0.000002,0.001201
1352,0.000000,0.001237
665,0.000000,0.000646
678,0.000199,0.000329
1443,0.000239,0.001062
1995,0.000247,0.001408
1832,0.000448,0.001278
1603,0.000090,0.001252
1423,0.000217,0.001247
816,0.000043,0.000847
685,0.000009,0.000568
227,0.000002,0.000313
122,0.000000,0.000063
1897,0.000199,0.001209
1751,0.000239,0.001238
873,0.000048,0.000846
1479,0.000010,0.001166
299,0.000002,0.000433
311,0.000200,0.000087
1181,0.000040,0.000815
1588,0.000207,0.001160
1819,0.000440,0.001229
1939,0.000487,0.001242
269,0.000297,0.000248
1378,0.000059,0.001046
172,0.000012,0.000209
133,0.000002,0.000042
1709,0.000200,0.001005
687,0.000040,0.000799
530,0.000008,0.000359
1049,0.000201,0.000670
1909,0.000040,0.001529
640,0.000008,0.000705
958,0.000201,0.000540
1339,0.001037,0.000208
1590,0.000407,0.001039
1220,0.000281,0.000806
857,0.000255,0.000560
213,0.000051,0.000311
1852,0.000409,0.001059
353,0.000082,0.000411
557,0.000016,0.000481
1856,0.000003,0.001292
1572,0.000001,0.001255
1522,0.000199,0.001248
314,0.000040,0.000449
1073,0.000207,0.000688
1574,0.000241,0.001134
1659,0.000247,0.001224
1591,0.000249,0.001241
781,0.000249,0.000647
554,0.000050,0.000329
327,0.000209,0.000265
1123,0.000241,0.000651
774,0.000048,0.000529
506,0.000408,0.000106
1859,0.000082,0.001417
1744,0.000216,0.001280
348,0.000043,0.000455
1662,0.000208,0.001088
1880,0.000441,0.001115
389,0.000088,0.000422
1870,0.000424,0.001074
912,0.000284,0.000613
1740,0.000256,0.001119
927,0.000051,0.001021
296,0.000010,0.000404
853,0.000002,0.000679
1650,0.000200,0.001132
1797,0.000239,0.001223
112,0.000048,0.000444
430,0.000209,0.000089
1368,0.000042,0.001014
199,0.000008,0.000402
380,0.000002,0.000280
65,0.000000,0.000056
1130,0.000000,0.000808
54,0.000000,0.000162
217,0.000199,0.000032
1466,0.000638,0.000604
1897,0.000327,0.001118
168,0.000065,0.000423
49,0.000013,0.000085
1996,0.000003,0.001412
171,0.000001,0.000482
1363,0.000598,0.000495
71,0.000319,0.000099
996,0.000463,0.000219
1439,0.000691,0.000642
548,0.000138,0.000328
274,0.000028,0.000265
1165,0.000006,0.001050
211,0.000001,0.000310
23,0.000000,0.000062
882,0.000000,0.000611
1840,0.000199,0.001318
244,0.000040,0.000264
1780,0.000407,0.001049
1884,0.000281,0.001406
1824,0.000256,0.001278
708,0.000051,0.000854
972,0.000409,0.000370
357,0.000082,0.000273
1760,0.000415,0.001051
183,0.000083,0.000210
