Size,QuickSort,MergeSort
461,0.000399,0.000598
17,0.000080,0.000120
1121,0.003728,0.000798
156,0.000945,0.000160
986,0.003179,0.000630
1904,0.011998,0.001123
119,0.002400,0.000225
1420,0.006762,0.000841
121,0.001352,0.000168
1993,0.012629,0.001030
233,0.002924,0.000206
230,0.000585,0.000241
1042,0.003408,0.000845
1603,0.008668,0.001166
721,0.002930,0.001031
1252,0.005769,0.000804
451,0.001454,0.000759
1441,0.007267,0.000949
1289,0.006636,0.001187
1096,0.005314,0.000835
1136,0.004951,0.000965
1521,0.008565,0.000791
1732,0.011879,0.001155
1679,0.011345,0.001228
568,0.003266,0.000445
1813,0.010819,0.001086
1472,0.008941,0.001014
364,0.002586,0.000203
1727,0.009886,0.001037
700,0.003372,0.000805
269,0.000874,0.000360
1086,0.003962,0.000670
54,0.000792,0.000134
965,0.003348,0.000226
1921,0.012431,0.001042
894,0.005476,0.000208
1783,0.011466,0.001038
1272,0.007875,0.000806
35,0.001575,0.000161
1688,0.009883,0.001029
1739,0.011545,0.001202
436,0.003106,0.000240
1865,0.011385,0.001045
744,0.004071,0.000608
950,0.003804,0.000520
1165,0.005545,0.000503
1956,0.012670,0.001496
1590,0.010509,0.001097
1230,0.006886,0.000817
440,0.001975,0.000562
547,0.001392,0.000312
1634,0.009248,0.000860
426,0.002448,0.000371
1030,0.003878,0.000672
493,0.000776,0.001131
1172,0.004142,0.001124
1907,0.012190,0.001222
1193,0.007023,0.000842
1016,0.004594,0.000966
1676,0.010886,0.001189
1288,0.007958,0.000437
647,0.002987,0.000486
806,0.002591,0.000496
177,0.000518,0.000299
370,0.000502,0.000259
1985,0.012459,0.001048
1,0.002492,0.000210
1736,0.010266,0.000839
1871,0.013216,0.001165
1795,0.012809,0.001229
1352,0.008542,0.000645
970,0.004300,0.000926
462,0.001857,0.000185
779,0.002564,0.000236
268,0.000911,0.000047
19,0.000182,0.000009
493,0.001033,0.000002
1062,0.003994,0.000797
1668,0.009471,0.001156
1100,0.005682,0.000829
302,0.001535,0.000365
112,0.000307,0.000073
682,0.001457,0.000613
961,0.003481,0.000322
1504,0.007672,0.000862
1892,0.012599,0.001369
10,0.002520,0.000274
895,0.003095,0.000653
309,0.000818,0.000330
554,0.001160,0.000465
398,0.000631,0.000292
894,0.003116,0.000159
1965,0.012585,0.001029
365,0.002916,0.000405
1150,0.004570,0.000879
1154,0.005499,0.000574
281,0.001100,0.000514
623,0.001416,0.000701
99,0.000283,0.000140
1649,0.008827,0.000825
1914,0.013128,0.001162
1379,0.008805,0.000830
321,0.001761,0.000565
1031,0.003542,0.000910
385,0.001307,0.000182
39,0.000261,0.000235
310,0.000252,0.000246
708,0.001844,0.000249
1549,0.008342,0.001046
413,0.002067,0.000608
845,0.002606,0.000520
729,0.001917,0.000901
165,0.000583,0.000180
371,0.000515,0.000235
1350,0.005684,0.000844
707,0.003130,0.000169
669,0.001822,0.000632
1141,0.004351,0.000725
1772,0.010638,0.001142
1797,0.012692,0.001424
1987,0.015303,0.001274
1129,0.007047,0.000853
297,0.001609,0.000370
475,0.001318,0.000074
1551,0.007838,0.000812
1813,0.012332,0.001159
1532,0.010041,0.001228
1484,0.008985,0.001242
206,0.001797,0.000448
656,0.001754,0.000488
1421,0.007128,0.000696
1141,0.005412,0.001136
993,0.004272,0.000626
449,0.001851,0.000125
1101,0.003958,0.001022
1798,0.011458,0.001201
1988,0.014850,0.001436
1838,0.013934,0.001284
1034,0.005777,0.001254
406,0.001554,0.000649
192,0.000510,0.000130
1151,0.004289,0.000624
871,0.003648,0.000332
1000,0.003712,0.000864
929,0.003334,0.000771
433,0.001464,0.000154
1990,0.012851,0.001027
845,0.004564,0.001003
793,0.002906,0.000599
1552,0.008958,0.000978
1517,0.008768,0.001193
424,0.002351,0.000438
508,0.001467,0.000088
1015,0.003682,0.000416
734,0.002730,0.000282
1755,0.010314,0.001053
649,0.003259,0.000809
24,0.000652,0.000162
21,0.000130,0.000032
1289,0.005209,0.000804
1187,0.005228,0.001157
540,0.002042,0.000431
1786,0.010574,0.001083
1988,0.014575,0.001213
109,0.002915,0.000442
187,0.000782,0.000088
1019,0.003346,0.000615
1246,0.005453,0.000920
880,0.003682,0.000383
1428,0.007416,0.000874
155,0.001682,0.000175
14,0.000336,0.000035
467,0.001064,0.000007
405,0.000611,0.000400
1522,0.007099,0.001077
182,0.001420,0.000415
1882,0.011547,0.001080
749,0.004103,0.000615
1800,0.011088,0.001319
26,0.002218,0.000264
918,0.003433,0.000252
1322,0.006268,0.000649
1439,0.007640,0.000919
1396,0.007707,0.001180
1563,0.009315,0.001233
960,0.004853,0.000645
1550,0.008944,0.001126
203,0.002187,0.000225
1299,0.005421,0.001042
1330,0.006466,0.001006
732,0.003087,0.000600
1323,0.006199,0.000917
245,0.001240,0.000383
1249,0.005232,0.000873
1656,0.010216,0.001171
1798,0.012409,0.001231
175,0.002482,0.000445
1851,0.011260,0.001086
529,0.003249,0.000416
1219,0.005434,0.000681
